building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
bangladesh,train,earthquake,boston,flood,sghaze,meteor,lax,typhoon,fire
collapse,crash,terremoto,amuay,sardegna,psi,russia,shoot,philippines,colorado
build,helicopter,guatemala,texas,bigwet,singapore,russian,airport,haiyan,brazil
toll,derailment,costa,explosion,rescueph,haze,injure,suspect,pablo,nightclub
factory,glasgow,rica,prayforboston,colorado,update,hit,tsa,bopha,spring
death,new,philippines,west,help,hour,chelyabinsk,los,help,santamaria
kill,tren,sismo,marathon,please,read,shower,angeles,yolandaph,pray
savar,york,magnitude,bomb,need,hit,people,kill,victims,affect
garment,nyc,quake,plant,manila,indonesia,video,report,donate,everyone
pass,dead,tsunami,refiner,via,range,blast,shooter,pray,wildfire
dead,spain,hit,prayfortexas,calgary,like,meteorite,victims,super,kiss
dhaka,kill,por,fertilizer,people,issue,explode,agent,relief,boate
find,clutha,costarica,prayers,water,record,strike,terminal,need,sad
people,injure,del,waco,rain,unhealthy,explosion,say,via,hear
say,pub,bohol,people,per,break,via,people,people,australia
rana,santiago,que,que,australia,lol,hundreds,police,hit,tragedy
plaza,people,magnitud,venezuela,yyc,highest,chelly,break,affect,nsw
top,police,strike,explosi,safe,mask,fall,gunman,please,que
break,compostela,alerta,los,rescue,get,earth,custody,yolanda,home
bangla,espa,coast,bostonmarathon,affect,seriously,asteroid,prayers,dead,people
